,degree,num_knots,lambda_df_diff,num_hidden_layers,layer_size_factor,output_size_factor,learning_rate,momentum,dropout_rate,mean_test_score,std_test_score,rank_test_score
19,2,4,0,2,1.2905211198552018,1.7712856213032948,0.02621264444230953,0.04588237119222022,0.006396105779538666,0.5886325166977573,0.06743992817584588,25
44,2,4,0,3,1.824387500465734,1.3449786958580447,0.006921908145424947,0.040303731355920684,0.003289262000731134,0.5879468286042246,0.08689473607496238,26
48,2,4,0,3,1.7094749072152289,1.1251871075460664,0.02264590077558475,0.006303829725562583,0.0585247748005107,0.5807077430949699,0.06520643344967099,27
14,2,4,0,5,1.9661620512072584,1.1815581422915882,0.004410908747831637,0.0038577729604752334,0.0015583296315782784,0.5796472991461176,0.05040533325254361,28
0,2,4,0,2,1.4990578108519879,1.053253654293627,0.00168564990285484,0.0012587747894812966,0.0010440402154762761,0.5767213569470148,0.059642839843378696,29
27,2,4,0,4,1.972092728906004,1.1031002905622904,0.032112334234232785,0.02348682643679382,0.003464244955335397,0.5697814936573197,0.11680070687005141,30
11,2,4,0,3,1.1665107585278682,1.603225200773697,0.05650743337202148,0.009542905120742892,0.024586303181506102,0.5669730117390164,0.06856781098540998,31
40,2,4,0,2,1.3058171650374013,1.3738085071979742,0.02733293562856972,0.014042571271956078,0.09504163405158954,0.5668496339763877,0.07277545532816929,32
39,2,4,0,4,1.4079646105179457,1.039216163396887,0.009404522660573306,0.003937893274047298,0.012371243655023468,0.5619918397788103,0.1096102622546002,33
9,2,4,0,4,1.9018496184214533,1.2052238453808366,0.09979973778155535,0.06548734817421784,0.0036499334589685747,0.5615610172781746,0.07592156076834929,34
34,2,4,0,4,1.2437540791439428,1.6308593641009193,0.07254221097960864,0.06527796652101683,0.0023023050131535817,0.561016172892921,0.09012899333493116,35
15,2,4,0,4,1.3688408285992637,1.8714382738423947,0.01654588969012896,0.008326444807422298,0.0013518110335899905,0.5522264180731764,0.053206664104941445,36
16,2,4,0,2,1.1306377016609184,1.289447526767705,0.008032674680392338,0.0024476503754580865,0.01785725241227625,0.548619501950365,0.06581331553202664,37
38,2,4,0,5,1.237487029239874,1.1083618909716604,0.098844323918773,0.0026606182617909604,0.02298469726800922,0.5483635842772395,0.06800092833252347,38
1,2,4,0,4,1.455997181292266,1.83135342077619,0.07048763739937554,0.007613514715885499,0.0014389599373507006,0.5473723479408137,0.08814882026726983,39
